mode,matrix_size,exec_time_ms,gflops,verified
CPU,256,79.778,0.4206,PASS
CPU,512,788.623,0.3404,PASS
CPU,1024,8592.598,0.2499,PASS
CPU,2048,110648.619,0.1553,PASS
CUDA_Naive,256,0.249,134.9171,FAIL
CUDA_Naive,512,0.696,385.9138,FAIL
CUDA_Naive,1024,8.134,264.02,FAIL
CUDA_Naive,2048,44.047,390.0374,FAIL
CUDA_Tiled,256,0.206,163.1263,FAIL
CUDA_Tiled,512,0.526,510.5665,FAIL
CUDA_Tiled,1024,3.312,648.4074,FAIL
CUDA_Tiled,2048,27.329,628.6412,FAIL
